score,review
2,"젊은 두 여 직원분들의 서비스 정신이 형편없습니다. 한 분은 귀찮고 짜증난다는 듯한 표정과 태도로 손님을 대해서 다들 기분 나빠했습니다. 다른 한 분은 매장에 포크가 모자란지, 아직 음식이 남아있는데 아무말 없이 갑자기 오더니 테이블에서 각자 앞의 포크를 하나씩 걷어가더라구요. 황당했습니다."
1,역삼에 oo호텔 배달주문 가능하냐니까 여기 충현이거든요?이러면서 전화 확끊어버림. 겁나 어이없음.....
1,아이파크삼성동은 왜 배달취소해버리냐? 건방지다
5,
2,사장님이 치킨을 너무 익히셔서 튀김옷이 어두운 색이었어요. ㅜㅜ 다른지점에선 맛있었는데 딱딱하고 약간 탄맛도 나는듯해서 아숴웠음..
5,사장님 전화로 주문 꼼꼼하게 받아주시고 되게 친절하셨음. 번창하세요!
5,포장깔끔 맛나고 친절해요~!
5,무심코 찾아갔는데 너무 맛있네요 사장님이너무 친절해서 기분좋게 먹고왔어요
5,완전짱짱 너무 좋아 치킨  맜있음 대박 짱짱 완전히 너무너무 좋아요  매장♡♡♡ あかあな
1,포장 주문했는데 이상한거 싸주더니 나몰라라.. 직원은 메뉴도 제대로 파악 못하고 있으니 주문할때 꼭 두번 세번 확인하세요.
1,팔다 남은 통닭은 어지간하면 다시튀겨서 팔지 맙시다 냄새나고 질겨요~
5,친절 맛!!! 
5,맛있고 친절
5,가성비 갑
3,
5,장사언제해요...?
5,맛있고 친절하고 청결한 3박자가 갖춰진 곳
5,사장님이 친절하시고 치즈볼이 존맛이에여 8ㅅ8
1,
3,맛있는데 양이 너무 적음
4,가면 항상 어니언치킨 먹지만 다른것두 먹어보고싶어요 맛잇습니당!!  매운양념치킨은 별로엿음. 너무짬 ㅠㅠ
2,양이 적네...
1,창렬의 끝
3,치킨 맛은 그냥 무난 했어요. 가격도 무난 했고 자리가 넓은건 좋네요!
4,
