score,review
1,한강에서 주문하고 한 시간 반까지 기다렸는데 안 오셔서 통화 시도하는데 다른 기다리는 분들 다 받아가시는데도 연락을 안 받으셨어요. 계속 통화 시도하다 연결 됐는데 출발했다고 하시네요. 계속 안 와서 결국 또 전화해서 막차 시간 때문에 언제 오시냐니 출발 안 하셨대서 취소했어요. 배달존에서 시간 버린 게 참 황당하네요. 차라리 시간이 오래 걸린다고 말해주시...
2,처음 먹어보는데 반죽이 딱딱 양념도 그닥
2,크리스피 치킨.
2,"반반치킨 먹었어요 현미의 바삭함이 느껴집니다. 양념이 겉돌고 곁들이 소스가 1종류네요 교촌, bhc , bbq ,깐부에 비해 간이 많이 심심합니다. 다른 안주류를 많이 드시네요 제 스탈은 아니었어요"
1,내가 먹은데가 1호점인지 2호점인지 모르겠지만 비등비등 하겠지.. 명색이 2만천원짜리가 어디 편의점 2100원짜리 닭다리만도 못했던듯ㅎ 야매 정체불명 고기덩이에 소스만 뿌링클~ 이 시국에 물티슈도 따로 안준다하고 ㅜ  춥고 비와서 밖에서 진짜 bhc에서 시켜먹지 못한게 한이 되었따.  결론- 다신 안 사먹음
1,닭 냄새 안익었고 치킨무 변색 냄새 싸가지 X 환불하러갔는데 딸배가 카드를 던져서 주네요^^
1,순살 시켰는데90%가 퍽살이네요 진짜 레전드
1,기프티콘 사용한다 했더니 포장비 천원을 달래요 배달비도 아니고 포장비를 받는데는 첨 봤네요
5,사장님 친절하세요! 비비큐는 이 지점에서만 시켜먹어요
4,집근처라 자주 시키는 곳입니다- 오히려 여의도역점 보다 맛있어서 여기서만 시킵니다- 친절하게 전화도 받으시구요.
1,후라이드 이렇게 맛없었나요. 조각이 너무 커요. 치킨마루랑 다른점을 모르겠네요.
3,
1,배달시간 1시간 30분 가게에서 말해준 시간 50분 절대 시키지 마세요
1,배민으로 시켰는데 40분 걸린다 써놓고 한시간 반 넘게 걸림 사과 한마디도 없음 심지어 다 식어서 맛도 없었음 전화해서 다시 물어봤을 때 정확히 말해주던가 3~4분 걸린다고 해서 기다렸는데 10분 넘게 안와서 다시 전화했더니 그제서야 출발했다 하더라 절대 여기서 시키지 마세요
1,별한개주기도 아깝네요 ; 최악인 지점 ㅠ 1. 애초에 저녁6시인데 순살밖에 안된다고 당연하다는 듯이 함+ 기프티콘 쓴다고 짜증낸 티 팍팍 내심 + 위치 못찾으니까 귀찮다는 듯이 그옆상가에요~ 한마디하고 끊음 2. 냉동했다가 해동한 편의점 닭강정 마냥 튀김도 엄청 두껍고 맛초킹 소스도 다 안묻어져있음. 19000원 너무 아까워요.. 3. 남자 직원들 진짜 다...
1,순살을 시켰는데 치킨너겟이 온다는 말이 팩트였네요.... 언제 튀긴건지 눅눅하고 소스는 제대로 묻혀있지도 않고 .. 성의 없는 음식이라 정말 돈 아까워요. 앞으로 여긴 믿고 거릅니다 
1,"1. 바빠서 순살밖에 안된다고함 2. 주문 후 기프티콘 결제하겠다고 하니 ""진작 말하지, 처음부터 다시해야되잖아요"" 하며 눈치줌  BHC 본사는 여기 관리 안합니까?   이번 기회에 BHC 다음부터 거르게 될듯."
1,너무 별로였어서 리뷰남기려다 한강에서 시킨거라 어딘지 헷갈려했는데  치킨을 시켰는데 치킨너겟이 나왔다는 평가'들을'보고 이 지점이라는 것을 깨달았습니다
1,치킨 닭다리 하나 빼먹고 안 갖다줘 놓고 전화 하니까  죄송하다는 말도 없이 갖다 드릴게요~ 해서 몇분 걸리냐니까 30분 걸린다네요 ㅋㅋ 30분이면 다 먹고 자리 뜬다고 말하니까 그럼 어떻게 해드려요 제가 하면서 한숨만 푹푹 쉬고 답도 없어요 ㅋㅋ 돈 받아 먹고 그렇게 장사 하지 마세요~ 제가 닭다리 하나 못 받아서 그랬겠어요? 죄송하다는 말이 먼저죠 서비...
1,"순살밖에 안된다고 해서 순살을 시켰더니(☆순살 2000원 추가)  여친이 하는 말 ""오빠 이거 치킨너겟이야??"" 네.. 치킨너겟이 왔습니다. 속상합니다. 부디 순살을 여기서 시키지 마시옵소서. 그냥 딴데 시키세요.ㅋㅋ ps. bhc는 맛있지만 여의도점은 아닌 듯.."
1,순살을 시켰는데 용가리가 왔다 치킨너겟인가 21000원 어디갔지
